@relation noteCount

@attribute a numeric
@attribute a# numeric
@attribute b numeric
@attribute c numeric
@attribute c# numeric
@attribute d numeric
@attribute d# numeric
@attribute e numeric
@attribute f numeric
@attribute f# numeric
@attribute g numeric
@attribute g# numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
20,25,9,43,0,37,23,9,22,5,36,2,2
45,0,14,2,18,38,0,19,0,17,19,3,6
